"Date","Close"
"1/20/2009","330.79"
"1/21/2009","339.40"
"1/22/2009","337.55"
"1/23/2009","350.51"
"1/26/2009","350.51"
"1/27/2009","332.14"
"1/28/2009","337.08"
"1/29/2009","335.53"
"1/30/2009","336.20"
"2/2/2009","327.22"
"2/3/2009","328.26"
"2/4/2009","328.24"
"2/5/2009","335.11"
"2/6/2009","337.92"
"2/9/2009","341.44"
"2/10/2009","335.43"
"2/11/2009","334.43"
"2/12/2009","337.22"
"2/13/2009","333.87"
"2/17/2009","313.22"
"2/18/2009","306.77"
"2/19/2009","317.91"
"2/20/2009","315.00"
"2/23/2009","310.30"
"2/24/2009","317.24"
"2/25/2009","327.16"
"2/26/2009","339.04"
"2/27/2009","336.24"
"3/2/2009","314.61"
"3/3/2009","321.09"
"3/4/2009","338.13"
"3/5/2009","327.27"
"3/6/2009","335.86"
"3/9/2009","339.08"
"3/10/2009","337.44"
"3/11/2009","325.07"
"3/12/2009","345.03"
"3/13/2009","342.83"
"3/16/2009","347.74"
"3/17/2009","356.59"
"3/18/2009","350.54"
"3/19/2009","370.86"
"3/20/2009","372.17"
"3/23/2009","381.75"
"3/24/2009","381.31"
"3/25/2009","374.23"
"3/26/2009","379.16"
"3/27/2009","368.58"
"3/30/2009","351.10"
"3/31/2009","358.53"
"4/1/2009","352.24"
"4/2/2009","373.35"
"4/3/2009","375.55"
"4/6/2009","368.65"
"4/7/2009","363.39"
"4/8/2009","367.12"
"4/9/2009","379.20"
"4/13/2009","374.35"
"4/14/2009","376.60"
"4/15/2009","374.16"
"4/16/2009","375.85"
"4/17/2009","377.57"
"4/20/2009","357.53"
"4/21/2009","358.20"
"4/22/2009","358.96"
"4/23/2009","360.73"
"4/24/2009","368.59"
"4/27/2009","359.37"
"4/28/2009","357.54"
"4/29/2009","364.63"
"4/30/2009","365.85"
"5/1/2009","379.01"
"5/4/2009","385.58"
"5/5/2009","383.16"
"5/6/2009","396.02"
"5/7/2009","401.06"
"5/8/2009","411.44"
"5/11/2009","410.53"
"5/12/2009","414.05"
"5/13/2009","410.64"
"5/14/2009","412.53"
"5/15/2009","399.85"
"5/18/2009","411.73"
"5/19/2009","413.20"
"5/20/2009","421.74"
"5/21/2009","415.68"
"5/22/2009","420.08"
"5/26/2009","423.09"
"5/27/2009","427.40"
"5/28/2009","436.47"
"5/29/2009","443.05"
"6/1/2009","458.46"
"6/2/2009","458.02"
"6/3/2009","442.41"
"6/4/2009","457.04"
"6/5/2009","455.40"
"6/8/2009","452.75"
"6/9/2009","463.26"
"6/10/2009","468.12"
"6/11/2009","478.15"
"6/12/2009","472.20"
"6/15/2009","463.65"
"6/16/2009","463.29"
"6/17/2009","466.07"
"6/18/2009","465.87"
"6/19/2009","457.20"
"6/22/2009","442.41"
"6/23/2009","450.35"
"6/24/2009","448.80"
"6/25/2009","456.08"
"6/26/2009","450.97"
"6/29/2009","460.15"
"6/30/2009","450.22"
"7/1/2009","448.93"
"7/2/2009","435.77"
"7/6/2009","421.78"
"7/7/2009","414.96"
"7/8/2009","402.18"
"7/9/2009","406.63"
"7/10/2009","404.51"
"7/13/2009","405.14"
"7/14/2009","407.98"
"7/15/2009","418.15"
"7/16/2009","421.77"
"7/17/2009","430.18"
"7/20/2009","435.15"
"7/21/2009","435.55"
"7/22/2009","435.71"
"7/23/2009","445.10"
"7/24/2009","448.01"
"7/27/2009","450.11"
"7/28/2009","444.18"
