,FREQ,EER_TYPE,EER_BASKET,REF_AREA,UNIT_MEASURE,TIME_FORMAT,COLLECTION,TITLE_TS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK
168,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-09-26,67.52,A,F,
169,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-09-27,67.59,A,F,
170,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-09-28,,H,F,
171,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-09-29,,H,F,
172,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-09-30,67.74,A,F,
173,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-10-01,67.64,A,F,
174,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-10-02,67.68,A,F,
175,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-10-03,67.69,A,F,
176,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-10-04,67.75,A,F,
177,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-10-05,,H,F,
178,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-10-06,,H,F,
179,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-10-07,67.75,A,F,
180,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-10-08,67.66,A,F,
181,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-10-09,67.76,A,F,
182,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-10-10,67.79,A,F,
183,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-10-11,67.74,A,F,
184,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-10-12,,H,F,
185,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-10-13,,H,F,
186,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-10-14,67.77,A,F,
187,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-10-15,67.93,A,F,
188,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-10-16,67.95,A,F,
189,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-10-17,67.93,A,F,
190,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-10-18,67.98,A,F,
191,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-10-19,,H,F,
192,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-10-20,,H,F,
193,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-10-21,67.98,A,F,
194,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-10-22,67.94,A,F,
195,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-10-23,67.85,A,F,
196,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-10-24,67.88,A,F,
197,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-10-25,67.97,A,F,
198,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-10-26,,H,F,
199,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-10-27,,H,F,
200,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-10-28,68.1,A,F,
201,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-10-29,67.94,A,F,
202,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-10-30,67.97,A,F,
203,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-10-31,67.87,A,F,
204,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-11-01,67.91,A,F,
205,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-11-02,,H,F,
206,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-11-03,,H,F,
207,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-11-04,67.79,A,F,
208,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-11-05,67.9,A,F,
209,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-11-06,67.96,A,F,
210,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-11-07,67.58,A,F,
211,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-11-08,67.6,A,F,
212,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-11-09,,H,F,
213,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-11-10,,H,F,
214,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-11-11,67.46,A,F,
215,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-11-12,67.45,A,F,
216,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-11-13,67.49,A,F,
217,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-11-14,67.49,A,F,
218,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-11-15,67.4,A,F,
219,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-11-16,,H,F,
220,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-11-17,,H,F,
221,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-11-18,67.45,A,F,
222,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-11-19,67.4,A,F,
223,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-11-20,67.35,A,F,
224,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-11-21,67.42,A,F,
225,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-11-22,67.32,A,F,
226,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-11-23,,H,F,
227,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-11-24,,H,F,
228,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-11-25,67.59,A,F,
